match_id,duration,first_blood_time,game_mode,dire_score,radiant_score,radiant_win,start_time,region,patch,throw,comeback,replay_url,player_slot,ability_upgrades_arr,assists,backpack_0,backpack_1,backpack_2,deaths,denies,gold,gold_spent,hero_damage,hero_healing,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,item_neutral,kills,last_hits,level,net_worth,permanent_buffs,tower_damage,isRadiant,total_gold,total_xp,kda,rank_tier,gold_per_min,xp_per_min,kills_per_min,last_hits_per_min,hero_damage_per_min,hero_healing_per_min,tower_damage,list_of_picks
6572839463,2006,47,22,32,44,True,1652701772,5,50,1226,,http://replay152.valve.net/570/6572839463_467689603.dem.bz2,132,"[5595, 5596, 5595, 5596, 5595, 5598, 5595, 5596, 5596, 880, 5597, 5598, 5597, 5597, 463, 5597]",16,0,0,0,9,9,685,10670,15269,2007,104,50,116,1,127,11,36,573,3,140,17,11235,"[{'permanent_buff': 5, 'stack_count': 80}]",538,False,12136,14844,1,54,"{'raw': 363, 'pct': 0.19205298013245034}","{'raw': 444, 'pct': 0.13434247871333965}","{'raw': 0.0897308075772682, 'pct': 0.1892147587511826}","{'raw': 4.187437686939182, 'pct': 0.4219489120151372}","{'raw': 456.6999002991027, 'pct': 0.2980132450331126}","{'raw': 60.02991026919243, 'pct': 0.6319772942289499}","{'raw': 538, 'pct': 0.26773888363292336}","[{'hero_id': 74, 'team': 0, 'order': 0}, {'hero_id': 14, 'team': 0, 'order': 1}, {'hero_id': 50, 'team': 1, 'order': 2}, {'hero_id': 104, 'team': 1, 'order': 3}, {'hero_id': 5, 'team': 0, 'order': 4}, {'hero_id': 2, 'team': 0, 'order': 5}, {'hero_id': 84, 'team': 1, 'order': 6}, {'hero_id': 48, 'team': 1, 'order': 7}, {'hero_id': 94, 'team': 0, 'order': 8}, {'hero_id': 106, 'team': 1, 'order': 9}]"
6571422829,2404,6,22,14,47,True,1652617451,5,50,512,,http://replay156.valve.net/570/6571422829_1482543584.dem.bz2,1,"[6495, 6583, 6583, 6495, 6583, 6598, 6583, 6495, 6495, 883, 6582, 6598, 6582, 6582, 6582, 6759, 6598, 884]",22,40,0,0,6,8,1257,16815,21485,0,129,50,178,1,210,73,112,331,12,141,22,16567,"[{'permanent_buff': 12, 'stack_count': 0}]",1450,True,17709,23318,4,54,"{'raw': 442, 'pct': 0.507554945054945}","{'raw': 582, 'pct': 0.426510989010989}","{'raw': 0.2995008319467554, 'pct': 0.8901098901098901}","{'raw': 3.5191347753743765, 'pct': 0.2657967032967033}","{'raw': 536.2312811980033, 'pct': 0.532967032967033}","{'raw': 0, 'pct': 0.9010989010989011}","{'raw': 1450, 'pct': 0.5508241758241759}","[{'hero_id': 129, 'team': 0, 'order': 0}, {'hero_id': 90, 'team': 0, 'order': 1}, {'hero_id': 84, 'team': 1, 'order': 2}, {'hero_id': 9, 'team': 1, 'order': 3}, {'hero_id': 32, 'team': 0, 'order': 4}, {'hero_id': 21, 'team': 1, 'order': 5}, {'hero_id': 94, 'team': 1, 'order': 6}, {'hero_id': 112, 'team': 0, 'order': 7}, {'hero_id': 135, 'team': 1, 'order': 8}, {'hero_id': 19, 'team': 0, 'order': 9}]"
6571350383,2224,64,22,38,40,True,1652614696,5,50,1381,,http://replay153.valve.net/570/6571350383_1642245561.dem.bz2,0,"[5595, 5597, 5595, 5596, 5595, 5598, 5595, 5596, 5596, 880, 5596, 5598, 5597, 5597, 463, 5597, 5598, 7395]",10,0,0,0,6,9,3248,11570,14460,2220,104,50,116,1,127,86,36,309,5,168,21,14123,"[{'permanent_buff': 5, 'stack_count': 80}]",2591,True,15493,21313,2,54,"{'raw': 418, 'pct': 0.3519394512771996}","{'raw': 575, 'pct': 0.36423841059602646}","{'raw': 0.13489208633093525, 'pct': 0.34058656575212864}","{'raw': 4.532374100719425, 'pct': 0.533585619678335}","{'raw': 390.10791366906477, 'pct': 0.18826868495742669}","{'raw': 59.89208633093525, 'pct': 0.6319772942289499}","{'raw': 2591, 'pct': 0.49952696310312206}","[{'hero_id': 90, 'team': 1, 'order': 0}, {'hero_id': 135, 'team': 1, 'order': 1}, {'hero_id': 27, 'team': 0, 'order': 2}, {'hero_id': 104, 'team': 0, 'order': 3}, {'hero_id': 64, 'team': 0, 'order': 4}, {'hero_id': 21, 'team': 1, 'order': 5}, {'hero_id': 101, 'team': 1, 'order': 6}, {'hero_id': 6, 'team': 0, 'order': 7}, {'hero_id': 44, 'team': 1, 'order': 8}, {'hero_id': 56, 'team': 0, 'order': 9}]"
6569802387,2218,138,22,39,21,False,1652534651,5,50,,1877,http://replay151.valve.net/570/6569802387_167473474.dem.bz2,132,"[5595, 5596, 5595, 5597, 5595, 5598, 5595, 5596, 5596, 880, 5596, 5598, 5597, 5597, 463, 5597, 5598, 7395]",15,0,0,0,2,14,1433,19510,26523,7016,104,50,116,1,127,249,102,834,12,190,23,19083,"[{'permanent_buff': 5, 'stack_count': 220}]",9850,False,19925,25063,9,54,"{'raw': 539, 'pct': 0.7871333964049196}","{'raw': 678, 'pct': 0.6338694418164617}","{'raw': 0.32461677186654647, 'pct': 0.8420056764427626}","{'raw': 5.139765554553652, 'pct': 0.7000946073793756}","{'raw': 717.4842200180342, 'pct': 0.706717123935667}","{'raw': 189.79260595130748, 'pct': 0.9754020813623463}","{'raw': 9850, 'pct': 0.8467360454115421}","[{'hero_id': 9, 'team': 0, 'order': 0}, {'hero_id': 121, 'team': 1, 'order': 1}, {'hero_id': 84, 'team': 0, 'order': 2}, {'hero_id': 57, 'team': 1, 'order': 3}, {'hero_id': 104, 'team': 1, 'order': 4}, {'hero_id': 35, 'team': 0, 'order': 5}, {'hero_id': 54, 'team': 1, 'order': 6}, {'hero_id': 28, 'team': 0, 'order': 7}, {'hero_id': 44, 'team': 0, 'order': 8}, {'hero_id': 17, 'team': 1, 'order': 9}]"
6569675898,2832,286,22,35,29,False,1652529955,5,50,,119,http://replay151.valve.net/570/6569675898_868544303.dem.bz2,129,"[6495, 6583, 6495, 6583, 6495, 6598, 6495, 6583, 6583, 843, 6582, 6598, 6582, 6582, 6759, 6582, 6598, 884, 6766]",16,0,0,0,5,11,4214,22225,29641,0,129,50,178,600,116,110,0,381,8,323,27,23864,"[{'permanent_buff': 12, 'stack_count': 0}]",2237,False,26384,32143,4,54,"{'raw': 559, 'pct': 0.9017857142857143}","{'raw': 681, 'pct': 0.7081043956043956}","{'raw': 0.1694915254237288, 'pct': 0.5590659340659341}","{'raw': 6.843220338983051, 'pct': 0.9333791208791209}","{'raw': 627.9872881355933, 'pct': 0.7156593406593407}","{'raw': 0, 'pct': 0.9010989010989011}","{'raw': 2237, 'pct': 0.6778846153846154}","[{'hero_id': 86, 'team': 0, 'order': 0}, {'hero_id': 27, 'team': 1, 'order': 1}, {'hero_id': 9, 'team': 0, 'order': 2}, {'hero_id': 129, 'team': 1, 'order': 3}, {'hero_id': 22, 'team': 0, 'order': 4}, {'hero_id': 108, 'team': 0, 'order': 5}, {'hero_id': 67, 'team': 1, 'order': 6}, {'hero_id': 21, 'team': 1, 'order': 7}, {'hero_id': 93, 'team': 0, 'order': 8}, {'hero_id': 46, 'team': 1, 'order': 9}]"
6569604908,2460,75,22,36,49,True,1652526981,5,50,3235,,http://replay152.valve.net/570/6569604908_2136598432.dem.bz2,4,"[5353, 5355, 5355, 5353, 5355, 5356, 5355, 7301, 7301, 5931, 5353, 5356, 5353, 7301, 5940, 7301, 5356, 830, 6543, 7022]",22,36,0,0,6,3,2684,16770,26012,0,71,50,92,210,116,108,4,306,7,182,27,19364,"[{'permanent_buff': 12, 'stack_count': 0}]",1219,True,19721,31078,4,54,"{'raw': 481, 'pct': 0.8436692506459949}","{'raw': 758, 'pct': 0.9289405684754521}","{'raw': 0.17073170731707318, 'pct': 0.6640826873385013}","{'raw': 4.439024390243903, 'pct': 0.8359173126614987}","{'raw': 634.439024390244, 'pct': 0.8927648578811369}","{'raw': 0, 'pct': 0.7144702842377261}","{'raw': 1219, 'pct': 0.7157622739018088}","[{'hero_id': 72, 'team': 1, 'order': 0}, {'hero_id': 30, 'team': 0, 'order': 2}, {'hero_id': 14, 'team': 1, 'order': 3}, {'hero_id': 79, 'team': 0, 'order': 4}, {'hero_id': 47, 'team': 1, 'order': 5}, {'hero_id': 70, 'team': 0, 'order': 6}, {'hero_id': 71, 'team': 0, 'order': 7}, {'hero_id': 21, 'team': 1, 'order': 8}, {'hero_id': 74, 'team': 0, 'order': 9}, {'hero_id': 44, 'team': 1, 'order': 10}]"
6567038519,1930,201,22,25,28,True,1652370340,5,50,5973,,http://replay151.valve.net/570/6567038519_1419060232.dem.bz2,0,"[5088, 5086, 5088, 5087, 5087, 5087, 5087, 5088, 5088, 6119, 5089, 5089, 5086, 5086, 6822, 5086, 5089, 6821]",5,0,0,0,5,4,1815,16905,11302,0,42,50,267,1,98,112,73,381,3,267,22,17750,[],14680,True,18399,22420,1,54,"{'raw': 572, 'pct': 0.5387205387205387}","{'raw': 697, 'pct': 0.5143097643097643}","{'raw': 0.09326424870466321, 'pct': 0.25757575757575757}","{'raw': 8.300518134715027, 'pct': 0.6843434343434344}","{'raw': 351.35751295336786, 'pct': 0.2196969696969697}","{'raw': 0, 'pct': 0.9663299663299664}","{'raw': 14680, 'pct': 0.8198653198653199}","[{'hero_id': 42, 'team': 0, 'order': 0}, {'hero_id': 86, 'team': 1, 'order': 1}, {'hero_id': 31, 'team': 0, 'order': 2}, {'hero_id': 72, 'team': 1, 'order': 3}, {'hero_id': 119, 'team': 0, 'order': 4}, {'hero_id': 128, 'team': 1, 'order': 5}, {'hero_id': 1, 'team': 0, 'order': 6}, {'hero_id': 49, 'team': 1, 'order': 7}, {'hero_id': 30, 'team': 0, 'order': 8}, {'hero_id': 19, 'team': 1, 'order': 9}]"
6566977985,1953,110,22,49,20,False,1652368000,5,50,,0,http://replay156.valve.net/570/6566977985_319406677.dem.bz2,130,"[5008, 5009, 5007, 5009, 5009, 5010, 5009, 5007, 5007, 7132, 5007, 5010, 5008, 5008, 6991, 5008, 5010, 562, 6608]",22,0,0,0,2,7,562,20880,26229,0,2,50,114,600,127,9,125,331,15,223,26,21112,"[{'permanent_buff': 6, 'stack_count': 1}, {'permanent_buff': 13, 'stack_count': 10}]",4313,False,21157,29978,12,54,"{'raw': 650, 'pct': 0.954031117397454}","{'raw': 921, 'pct': 0.9900990099009901}","{'raw': 0.4608294930875576, 'pct': 0.9207920792079208}","{'raw': 6.850998463901689, 'pct': 0.9306930693069307}","{'raw': 805.8064516129032, 'pct': 0.7114568599717115}","{'raw': 0, 'pct': 0.9476661951909476}","{'raw': 4313, 'pct': 0.8882602545968883}","[{'hero_id': 27, 'team': 0, 'order': 0}, {'hero_id': 41, 'team': 0, 'order': 1}, {'hero_id': 2, 'team': 1, 'order': 2}, {'hero_id': 14, 'team': 1, 'order': 3}, {'hero_id': 89, 'team': 1, 'order': 4}, {'hero_id': 100, 'team': 0, 'order': 5}, {'hero_id': 106, 'team': 0, 'order': 6}, {'hero_id': 17, 'team': 1, 'order': 7}, {'hero_id': 35, 'team': 0, 'order': 8}, {'hero_id': 123, 'team': 1, 'order': 9}]"
6566917392,1833,0,22,18,48,True,1652365708,5,50,-316,,http://replay156.valve.net/570/6566917392_380429213.dem.bz2,128,"[6495, 6583, 6495, 6583, 6495, 6598, 6495, 6583, 6583, 843, 6582, 6598, 6582, 6582, 545, 6582, 6598]",6,0,0,0,7,10,1327,11140,18029,0,129,50,178,1,98,9,73,834,3,183,18,11157,[],8,False,12311,15427,1,54,"{'raw': 403, 'pct': 0.3440934065934066}","{'raw': 505, 'pct': 0.25892857142857145}","{'raw': 0.09819967266775778, 'pct': 0.25755494505494503}","{'raw': 5.990180032733225, 'pct': 0.864010989010989}","{'raw': 590.1472995090016, 'pct': 0.6456043956043956}","{'raw': 0, 'pct': 0.9010989010989011}","{'raw': 8, 'pct': 0.11744505494505494}","[{'hero_id': 129, 'team': 1, 'order': 0}, {'hero_id': 20, 'team': 0, 'order': 2}, {'hero_id': 37, 'team': 1, 'order': 3}, {'hero_id': 57, 'team': 0, 'order': 4}, {'hero_id': 10, 'team': 1, 'order': 5}, {'hero_id': 11, 'team': 1, 'order': 6}, {'hero_id': 28, 'team': 0, 'order': 7}, {'hero_id': 17, 'team': 0, 'order': 8}, {'hero_id': 30, 'team': 1, 'order': 9}, {'hero_id': 44, 'team': 0, 'order': 10}]"
6564281532,2032,0,22,38,32,False,1652198694,5,50,,71,http://replay152.valve.net/570/6564281532_1629148801.dem.bz2,3,"[6495, 6583, 6495, 6583, 6495, 6583, 6598, 6495, 6583, 883, 6582, 6598, 6582, 6582, 6759, 6582, 6598, 6584]",11,0,0,0,3,2,1953,14410,19139,342,129,50,178,1,116,168,36,358,9,137,25,14503,[],0,True,15273,28549,5,54,"{'raw': 451, 'pct': 0.5453296703296703}","{'raw': 843, 'pct': 0.9766483516483516}","{'raw': 0.26574803149606296, 'pct': 0.8228021978021978}","{'raw': 4.0452755905511815, 'pct': 0.40934065934065933}","{'raw': 565.1279527559055, 'pct': 0.5906593406593407}","{'raw': 10.098425196850394, 'pct': 0.9368131868131868}","{'raw': 0, 'pct': 0.11744505494505494}","[{'hero_id': 129, 'team': 0, 'order': 0}, {'hero_id': 86, 'team': 1, 'order': 1}, {'hero_id': 45, 'team': 0, 'order': 2}, {'hero_id': 64, 'team': 1, 'order': 3}, {'hero_id': 22, 'team': 0, 'order': 4}, {'hero_id': 98, 'team': 1, 'order': 5}, {'hero_id': 1, 'team': 1, 'order': 6}, {'hero_id': 10, 'team': 0, 'order': 7}, {'hero_id': 126, 'team': 1, 'order': 8}, {'hero_id': 23, 'team': 0, 'order': 9}]"
